episode,total_reward,steps,hitl_overrides,success,epsilon
1,-144.5,46,3,0,0.24875
2,8.5,24,2,0,0.24750625
3,401.5,101,26,1,0.24626871875
4,429,102,21,1,0.24503737515625
5,-137.5,14,0,0,0.243812188280469
6,-146.5,23,1,0,0.242593127339066
7,-125,35,14,0,0.241380161702371
8,-140,12,1,0,0.240173260893859
9,456,112,24,1,0.23897239458939
10,8.5,13,2,0,0.237777532616443
11,417.5,96,5,1,0.236588644953361
12,20.5,19,4,0,0.235405701728594
13,495,131,71,1,0.234228673219951
14,434,106,13,1,0.233057529853851
15,465,117,25,1,0.231892242204582
16,436,122,21,1,0.230732780993559
17,83,83,12,0,0.229579117088591
18,407,99,5,1,0.228431221503148
19,30,31,1,0,0.227289065395633
20,-140.5,20,0,0,0.226152620068654
21,444,124,9,1,0.225021856968311
22,20,17,3,0,0.22389674768347
23,-47.5,110,12,0,0.222777263945052
24,465,128,7,1,0.221663377625327
25,407.5,124,7,1,0.2205550607372
26,442.5,133,16,1,0.219452285433514
27,435,107,0,1,0.218355024006347
28,426.5,116,9,1,0.217263248886315
29,-95.5,71,8,0,0.216176932641883
30,70.5,92,8,0,0.215096047978674
31,155,111,7,0,0.214020567738781
32,484,147,8,1,0.212950464900087
33,504,135,2,1,0.211885712575586
34,21.5,19,2,0,0.210826284012708
35,481,128,9,1,0.209772152592645
36,461,121,1,1,0.208723291829682
37,22,18,2,0,0.207679675370533
38,492.5,149,9,1,0.206641276993681
39,-137,12,0,0,0.205608070608712
40,474.5,130,26,1,0.204580030255669
41,524,129,21,1,0.20355713010439
42,506,131,16,1,0.202539344453868
43,-146,16,0,0,0.201526647731599
44,487,129,24,1,0.200519014492941
45,427.5,124,9,1,0.199516419420476
46,427.5,118,24,1,0.198518837323374
47,449,121,12,1,0.197526243136757
48,508,139,38,1,0.196538611921073
49,422,138,10,1,0.195555918861468
50,499.5,137,9,1,0.194578139267161
51,51.5,35,1,0,0.193605248570825
52,100,82,4,0,0.192637222327971
53,445,120,23,1,0.191674036216331
54,446,134,10,1,0.190715666035249
55,108,121,12,0,0.189762087705073
56,460.5,129,0,1,0.188813277266547
57,-138.5,21,0,0,0.187869210880215
58,-123.5,38,0,0,0.186929864825814
59,-67.5,80,0,0,0.185995215501685
60,-142,52,0,0,0.185065239424176
61,501.5,156,0,1,0.184139913227055
62,491.5,139,21,1,0.18321921366092
63,507,156,0,1,0.182303117592615
64,466,157,0,1,0.181391602004652
65,509.5,153,4,1,0.180484643994629
66,535.5,153,5,1,0.179582220774656
67,-112,28,0,0,0.178684309670783
68,442,139,3,1,0.177790888122429
69,514.5,154,0,1,0.176901933681817
70,-57.5,130,5,0,0.176017424013407
71,-111.5,37,1,0,0.17513733689334
72,-107.5,49,0,0,0.174261650208874
73,491,98,0,1,0.173390341957829
74,471,131,0,1,0.17252339024804
75,523.5,133,0,1,0.1716607732968
76,501.5,128,0,1,0.170802469430316
77,452.5,126,0,1,0.169948457083164
78,428,119,0,1,0.169098714797749
79,-112,32,0,0,0.16825322122376
80,430.5,124,0,1,0.167411955117641
81,461,119,0,1,0.166574895342053
82,423.5,138,0,1,0.165742020865343
83,-20.5,104,0,0,0.164913310761016
84,-149,23,0,0,0.164088744207211
85,436.5,131,0,1,0.163268300486175
86,-68.5,69,0,0,0.162451958983744
87,-144,24,0,0,0.161639699188825
88,457.5,123,0,1,0.160831500692881
89,485,142,0,1,0.160027343189417
90,462,126,0,1,0.15922720647347
91,452,129,0,1,0.158431070441102
92,470.5,125,0,1,0.157638915088897
93,518.5,140,0,1,0.156850720513452
94,508.5,140,0,1,0.156066466910885
95,502.5,135,0,1,0.15528613457633
96,475.5,118,0,1,0.154509703903449
97,493,129,0,1,0.153737155383932
98,452.5,128,0,1,0.152968469607012
99,447,140,0,1,0.152203627258977
