episode,total_reward,steps,hitl_overrides,success,epsilon
1,-123.5,19,0,0,0.597
2,-170.5,47,0,0,0.594015
3,-159,13,0,0,0.591044925
4,-89.5,53,0,0,0.5880897
5,-154,16,0,0,0.585149252
6,-150.5,16,0,0,0.582223506
7,-130.5,27,0,0,0.579312388
8,-129,91,0,0,0.576415826
9,-149.5,12,0,0,0.573533747
10,-136,29,0,0,0.570666078
11,-154.5,17,0,0,0.567812748
12,-125,25,0,0,0.564973684
13,-134.5,27,0,0,0.562148816
14,-91,58,0,0,0.559338072
15,-142.5,31,0,0,0.556541381
16,-151.5,30,0,0,0.553758674
17,-158,13,0,0,0.550989881
18,-158,11,0,0,0.548234932
19,-132,19,0,0,0.545493757
20,-120,25,0,0,0.542766288
21,-163,14,0,0,0.540052457
22,-126,23,0,0,0.537352194
23,-155.5,16,0,0,0.534665433
24,-132,25,0,0,0.531992106
25,-162.5,53,0,0,0.529332146
26,-139,15,0,0,0.526685485
27,-132.5,30,0,0,0.524052058
28,-136.5,21,0,0,0.521431797
29,-129.5,31,0,0,0.518824638
30,-129.5,22,0,0,0.516230515
31,-116,24,0,0,0.513649363
32,-167.5,44,0,0,0.511081116
33,-163,18,0,0,0.50852571
34,-145.5,17,0,0,0.505983082
35,-145,21,0,0,0.503453166
36,-183.5,85,0,0,0.5009359
37,-150,57,0,0,0.498431221
38,-132.5,24,0,0,0.495939065
39,-148.5,16,0,0,0.493459369
40,-142.5,37,0,0,0.490992073
41,-162,9,0,0,0.488537112
42,-139.5,25,0,0,0.486094427
43,-143.5,21,0,0,0.483663955
44,-132.5,23,0,0,0.481245635
45,-127.5,15,0,0,0.478839407
46,-150.5,21,0,0,0.47644521
47,-120.5,37,0,0,0.474062984
48,-157,18,0,0,0.471692669
49,-141.5,49,0,0,0.469334205
50,-139,11,0,0,0.466987534
51,-171,35,0,0,0.464652597
52,-162.5,68,0,0,0.462329334
53,-139,15,0,0,0.460017687
54,-127,33,0,0,0.457717598
55,-153.5,15,0,0,0.45542901
56,-150.5,12,0,0,0.453151865
57,-152.5,14,0,0,0.450886106
58,-125,28,0,0,0.448631676
59,-147.5,22,0,0,0.446388517
60,-130.5,23,0,0,0.444156575
61,-153,23,0,0,0.441935792
62,-150,14,0,0,0.439726113
63,-132,20,0,0,0.437527482
64,-170,33,0,0,0.435339845
65,-140,16,0,0,0.433163146
66,-134,21,0,0,0.43099733
67,-140,18,0,0,0.428842343
68,-147.5,25,0,0,0.426698131
69,-114.5,25,0,0,0.424564641
70,-145,44,0,0,0.422441818
71,-153,14,0,0,0.420329609
72,-114,88,0,0,0.418227961
73,-161,29,0,0,0.416136821
74,-116,79,0,0,0.414056137
75,-193.5,86,0,0,0.411985856
76,-117.5,21,0,0,0.409925927
77,-98.5,68,0,0,0.407876297
78,-111,43,0,0,0.405836916
79,-144.5,16,0,0,0.403807731
80,-140.5,13,0,0,0.401788692
81,-135,23,0,0,0.399779749
82,-112,43,0,0,0.39778085
83,-124,32,0,0,0.395791946
84,-145.5,23,0,0,0.393812986
85,-58.5,70,0,0,0.391843921
86,-51.5,95,0,0,0.389884702
87,454.5,149,0,1,0.387935278
88,-104.5,37,0,0,0.385995602
89,-90.5,91,0,0,0.384065624
90,-80.5,108,0,0,0.382145296
91,-51,150,0,0,0.380234569
92,451,138,0,1,0.378333396
93,-126,21,0,0,0.376441729
94,-144,47,0,0,0.374559521
95,-147.5,40,0,0,0.372686723
96,-51,97,0,0,0.370823289
97,-34.5,105,0,0,0.368969173
98,-116,82,0,0,0.367124327
99,-156.5,19,0,0,0.365288705
100,11.5,138,0,0,0.363462262
101,-142.5,27,0,0,0.361644951
102,-117.5,33,0,0,0.359836726
103,-11.5,137,0,0,0.358037542
104,-134,45,0,0,0.356247354
105,413.5,146,0,1,0.354466118
106,-44.5,98,0,0,0.352693787
107,-144,34,0,0,0.350930318
108,-102.5,79,0,0,0.349175667
109,-132.5,38,0,0,0.347429788
110,-132,70,0,0,0.345692639
111,-118,31,0,0,0.343964176
112,-108.5,77,0,0,0.342244355
113,-143,33,0,0,0.340533133
114,-136.5,19,0,0,0.338830468
115,-137.5,36,0,0,0.337136315
116,-74,117,0,0,0.335450634
117,-82,106,0,0,0.333773381
118,-123.5,32,0,0,0.332104514
119,-125.5,26,0,0,0.330443991
120,-140,69,0,0,0.328791771
121,-165,17,0,0,0.327147812
122,-124,129,0,0,0.325512073
123,-150,61,0,0,0.323884513
124,-139,93,0,0,0.32226509
125,-110.5,25,0,0,0.320653765
126,-127,53,0,0,0.319050496
127,-136,45,0,0,0.317455244
128,-138.5,23,0,0,0.315867967
129,-141,129,0,0,0.314288628
